Entrada/Saída,Data,Movimentação,Produto,Instituição,Quantidade,Preço unitário,Valor da Operação
Credito,27/01/2023,Transferência - Liquidação,LVBI11 - FII VBI LOG ,NU INVEST CORRETORA DE VALORES S.A.,2," R$93,97 "," R$187,94 "
Credito,27/01/2023,Transferência - Liquidação,RBFF11 - RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOB,NU INVEST CORRETORA DE VALORES S.A.,3," R$50,20 "," R$150,60 "
Credito,26/01/2023,Transferência - Liquidação,XPML11 - XP MALLS FDO INV IMOB FII,NU INVEST CORRETORA DE VALORES S.A.,1," R$95,97 "," R$95,97 "
Debito,25/01/2023,Transferência - Liquidação,IVVB11 - ISHARE S&P 500 FIC EM FUNDO DE INDICE IE,NU INVEST CORRETORA DE VALORES S.A.,2," R$230,00 "," R$460,00 "
Credito,25/01/2023,Transferência - Liquidação,PVBI11 - FII - VBI PRIME PROPERTIES,NU INVEST CORRETORA DE VALORES S.A.,1," R$87,47 "," R$87,47 "
Credito,25/01/2023,Transferência - Liquidação,XPML11 - XP MALLS FDO INV IMOB FII,NU INVEST CORRETORA DE VALORES S.A.,1," R$96,97 "," R$96,97 "
Credito,24/01/2023,Transferência - Liquidação,KNSC11 - KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIARIO - FII,NU INVEST CORRETORA DE VALORES S.A.,1," R$87,19 "," R$87,19 "
Credito,18/01/2023,Transferência - Liquidação,NUBR33 - NU HOLDINGS LTD.,NU INVEST CORRETORA DE VALORES S.A.,20," R$3,05 "," R$61,00 "
Credito,09/01/2023,Transferência - Liquidação,NUBR33 - NU HOLDINGS LTD.,NU INVEST CORRETORA DE VALORES S.A.,10," R$3,12 "," R$31,20 "
Credito,09/01/2023,Transferência - Liquidação,TSLA34 - TESLA INC   ,NU INVEST CORRETORA DE VALORES S.A.,5," R$18,16 "," R$90,80 "
Credito,05/01/2023,Transferência - Liquidação,NUBR33 - NU HOLDINGS LTD.,NU INVEST CORRETORA DE VALORES S.A.,10," R$3,21 "," R$32,10 "
